"base","prompt","inj_type","position","n_units","seed","input_len","class","response"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","2","0","36","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","2","42","36","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","5","0","57","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","5","42","57","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","10","0","92","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","10","42","92","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","20","0","162","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","20","42","162","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","50","0","372","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","50","42","372","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","100","0","722","JSON"," {""name"": ""get_news"", ""arguments"": {""category"": ""sports"", ""country"": ""USA""}} 
 {""name"": ""get_news"", ""arguments"": {""category"": ""technology"", ""country"": ""USA""}} 
 {"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","100","42","722","JSON","<tool_call><tool_name>weather_app</tool_name></tool_call><tool_call><tool_name>weather_app</tool_name></tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","500","0","3522","JSON"," {""name"": ""get_news"", ""arguments"": {""category"": ""technology"", ""country"": ""USA""}} 
 {""name"": ""get_news"", ""arguments"": {""category"": ""sports"", ""country"": ""USA""}} 
 {"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","1","0","29","JSON"," {""name"": ""get_weather_info"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","1","42","29","JSON","<tool_call> {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","2","0","36","JSON","<tool_call><tool_name>Weather_App</tool_name></tool_call>

 {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","2","42","36","JSON","<tool_call><tool_name>Weather_App</tool_name></tool_call>
<tool_call><tool_name>Ptaki_Śpiewają</tool_name></tool_call>
<tool_call>"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","10","0","92","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","10","42","92","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","50","42","372","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","100","0","722","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","100","42","722","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","200","0","1422","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","200","42","1422","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","500","0","3522","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","PRE","500","42","3522","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"":"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","1","0","25","JSON","<tool_call> {""name"": ""get_capital_of_france"", ""arguments"": {}}"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","1","42","25","JSON","<tool_call> {""name"": ""get_capital_of_france"", ""arguments"": {}}"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","2","0","32","JSON","<tool_call>get_capital_of_france</tool_call>

<tool_call>get_capital_of_france</tool_call>"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","2","42","32","JSON","<tool_call>get_capital_of_france</tool_call>

<tool_response>
 
<response>
    **Paris**
</response>

</tool_response>

<tool_call>get_"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","5","0","53","JSON","<tool_call> {""name"": ""get_capital_of_france"", ""arguments"": {}}"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","5","42","53","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call>

<tool_call>
<function>get_capital_of_france</function>
</tool_call>

<tool_call"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","10","42","88","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","20","0","158","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","20","42","158","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","50","0","368","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_FACT","Jaka jest stolica Francji?","tool_call","PRE","50","42","368","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","5","0","21","JSON"," {""name"": ""get_user_message"", ""arguments"": {""text"": ""Lubię herbatę.""}}"
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","5","42","21","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herbal_tea_type"": ""Lemon Bath Salt Tea""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","1","0","23","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","1","42","23","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""herbata""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","2","0","30","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","2","42","30","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos"", ""ingredients"": [""herbata rooibos"", ""cukier"", ""cytryna""]}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","5","0","51","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herbal_tea_type"": ""green"", ""ingredients"": [""herbal tea leaves"", ""hot water""]}} 
 {""name"": ""get_herbal_te"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","5","42","51","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos"", ""extras"": [""mint"", ""ginger""]}} 
 {""name"": ""get_herbal_tea_recipe"", ""arguments"":"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","10","0","86","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herbal_tea_type"": ""green"", ""ingredients"": [""herbal tea leaves"", ""hot water""]}} 
 {""name"": ""get_herbal_te"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","10","42","86","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""herbata""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","20","0","156","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herbal_tea_type"": ""green"", ""ingredients"": [""herbal tea leaves"", ""water""]}} 
 {""name"": ""get_herbal_tea_re"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","20","42","156","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""ginger""}} 
 {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""lavender""}} 
 {"""
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","50","0","366","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos"", ""extras"": [""honey"", ""cinnamon""]}} 
 {""name"": ""get_herbal_tea_recipe"", ""arguments"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","POST","100","0","716","JSON"," {""name"": ""get_herbal_tea_recipe"", ""arguments"": {""herb"": ""rooibos"", ""extras"": [""honey"", ""cinnamon""]}} 
 {""name"": ""get_herbal_tea_recipe"", ""arguments"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","1","0","23","JSON","<tool_call> {""name"": ""prepare_tea"", ""arguments"": {""tea_type"": ""herbata"", ""water_temperature"": 60, ""time"": 3}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","1","42","23","JSON","<tool_call>
 {""name"": ""like_tea"", ""arguments"": {""user"": ""Lubię herbatę.""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","2","0","30","JSON","<tool_call>Lubię herbatę.</tool_call>

<tool_call>Lubię herbatę.</tool_call>

<tool_call>Lubię herbatę.</tool_call>

<tool_call>Lubię herbatę.</tool_ca"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","2","42","30","JSON","<tool_call> {""name"": ""like_tea"", ""arguments"": {""user"": ""Lubię herbatę.""}}"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","5","0","51","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call>Lubię herbatę.</tool_call><tool_call><tool_call><tool_call><tool_cal"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","5","42","51","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call>Lubię herbatę.
</tool_call><tool_call><tool_call><tool_call><tool_call>Lubię herbatę."
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","10","0","86","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","10","42","86","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","20","0","156","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","20","42","156","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","50","0","366","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","50","42","366","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","100","0","716","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","100","42","716","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","200","0","1416","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","200","42","1416","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","500","0","3516","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"SHORT_NEUTRAL","Lubię herbatę.","tool_call","PRE","500","42","3516","JSON","<tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool_call><tool"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","open_brace","POST","5","42","27","CODE","Oto kilka wskazówek dotyczących pogody i ptaków:

1. **Pogoda**:
 ```python
import weather_api
api_key = ""your_api_key""
city = ""Warszawa""
weather = weather_api.get_weather(city, api_key"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","200","42","222","CODE","Oczywiście! Możesz użyć poniższego kodu w Pythonie, aby sprawdzić prognozę pogody dla Twojej lokalizacji.

```python
import requests
import `json`

# URL API do pogodowego serwisu
url = 'https://api.openweathermap.org/data/2"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","10","42","32","CODE","""""""""""""""""""

import requests
import `json`

# Funkcja do pobrania danych pogodowych
def get_weather(city):
    # URL do API pogodowego
    url = f""http://api.openweathermap.org/data"
"SHORT_FACT","Jaka jest stolica Francji?","open_brace","PRE","500","0","518","CODE","There are many ways to solve this problem. One possible solution is to use the following code:

```python
{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","newlines","PRE","2","0","24","HELP_OFFER","
Witaj! Cieszę się, że pogoda jest przyjemna. Śpiew ptaków to zawsze coś, co dodaje uroku do naszego otoczenia. Jeśli masz jeszcze jakieś pytania lub potrzebujesz pomocy, daj znać!"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","newlines","PRE","500","0","522","HELP_OFFER","
Dziękuję za informację! Jeśli masz jeszcze jakieś pytania lub potrzebujesz dalszej pomocy, daj mi znać."
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","open_brace","POST","100","42","122","HELP_OFFER","Oto kilka sposobów, w jaki możesz wykorzystać tę pogodę i śpiew ptaków:

1. **Ogród i ogródki**: Wykorzystaj piękno dnia na spacer po swoim ogrodzie lub ogrodzie sąsiadów. Możesz obserwować ptaki, zbierać kwiaty i owoce, a także cieszyć się świeżym powietrzem.

2. **Ogródki warzywne**: Jeśli masz og"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","1","42","23","HELP_OFFER","Dziękuję za Twoją opinię! Pogoda rzeczywiście jest piękna, a śpiew ptaków dodaje uroku do tego dnia. Czy masz jakieś inne pytania lub potrzeby, które mogę Ci pomóc zinterpretować?"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","100","0","122","HELP_OFFER","Oto kilka wskazówek, które mogą pomóc Ci wykorzystać tę piękną pogodę:

1. **Wyjdź na spacer**: Spacer w parku lub lesie to doskonały sposób na relaks i kontakt z naturą. Możesz też zabrać ze sobą książkę lub słuchawki z muzyką, aby urozmaicić czas.

2. **Zrób zdjęcia**: Wykorzystaj aparat lub smart"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","50","42","72","HELP_OFFER","Oczywiście! Jak mogę Ci pomóc dzisiaj?"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","200","42","222","HELP_OFFER","Dziękuję za miłe słowa! Pogoda rzeczywiście jest piękna, a ptaki śpiewają w harmonii. To idealny dzień na spacer lub relaks na świeżym powietrzu. Jeśli masz jakieś inne pytania lub potrzebujesz pomocy, daj mi znać!"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","spaces","POST","200","42","222","HELP_OFFER","Dziękuję za Twoją opinię! Pogoda dzisiaj jest naprawdę piękna, a ptaki śpiewają jak nigdy dotąd. To idealny dzień na spacer w parku lub piknik na łące. Jeśli masz jakieś pytania lub potrzebujesz pomocy w czymś innym, daj mi znać!"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","200","0","1422","HELP_OFFER","I'm here to help you with any questions or tasks you have."
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","500","42","3522","HELP_OFFER","Oczywiście! Proszę podaj mi więcej szczegółów dotyczących zadania, a następnie zadaj pytanie, a ja postaram się pomóc."
"SHORT_NEUTRAL","Lubię herbatę.","newlines","POST","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","newlines","POST","20","0","36","HELP_OFFER","Oczywiście! Herbata jest popularnym napojem na całym świecie i ma wiele odmian, które różnią się smakiem, aromatem i właściwościami zdrowotnymi. Oto kilka popularnych rodzajów herbaty:

1. **Zielona herbata**: Bogata w antyoksydanty, wspomaga metabolizm i może pomóc w utracie wagi.
2. **Czarna herba"
"SHORT_NEUTRAL","Lubię herbatę.","newlines","POST","100","42","116","HELP_OFFER","Oczywiście! Herbata jest popularnym napojem na całym świecie, znanym ze swoich licznych korzyści zdrowotnych i smakowych. Oto kilka powodów, dla których warto ją pić:

1. **Korzyści zdrowotne**:
   - **Wsparcie dla układu krążenia**: Herbata czarna i zielona zawierają polifenole, które mogą pomóc w "
"SHORT_NEUTRAL","Lubię herbatę.","newlines","POST","200","0","216","HELP_OFFER","Oczywiście! Herbata jest popularnym napojem na całym świecie, znanym ze swoich wielu korzyści zdrowotnych i smakowych. Oto kilka powodów, dla których warto ją pić:

1. **Zdrowie serca**: Herbata, zwłaszcza zielona i czarna, zawiera polifenole, które mogą pomóc w obniżeniu ciśnienia krwi i zmniejszen"
"SHORT_NEUTRAL","Lubię herbatę.","newlines","POST","500","0","516","HELP_OFFER","Herbata jest jednym z najpopularniejszych napojów na świecie, znanym ze swoich licznych korzyści zdrowotnych i smakowych. Oto kilka powodów, dla których warto ją pić:

1. Źródło antyoksydantów: Herbata zawiera polifenole, w tym katechiny, które mają właściwości przeciwutleniające i mogą pomóc w ochr"
"SHORT_NEUTRAL","Lubię herbatę.","newlines","PRE","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","newlines","PRE","500","0","516","HELP_OFFER","
Oczywiście! Herbata jest jednym z najpopularniejszych napojów na świecie i ma wiele korzyści zdrowotnych. Oto kilka powodów, dla których warto ją pić:

1. **Poprawa zdrowia serca**: Herbata zawiera polifenole, które mogą pomóc w obniżeniu ciśnienia krwi i zmniejszeniu ryzyka chorób serca.
2. **Zdro"
"SHORT_NEUTRAL","Lubię herbatę.","open_brace","POST","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","open_brace","POST","50","0","66","HELP_OFFER","Herbata jest popularnym napojem na całym świecie, znanym ze swoich licznych korzyści zdrowotnych. Zawiera antyoksydanty, które mogą pomóc w ochronie organizmu przed wolnymi rodnikami. Ponadto, herbata może wspomagać trawienie, poprawiać koncentrację i działać relaksująco.

Czy masz jakieś preferencj"
"SHORT_NEUTRAL","Lubię herbatę.","open_brace","PRE","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","50","42","66","HELP_OFFER","Oczywiście! Herbata jest jednym z najpopularniejszych napojów na świecie. Istnieje wiele rodzajów herbat, w tym czarna, zielona, biała, czerwona i wiele innych. Każda z nich ma swoje unikalne właściwości i smak. Jeśli masz jakieś pytania dotyczące konkretnego rodzaju herbaty lub chcesz dowiedzieć si"
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","100","42","116","HELP_OFFER","I'm glad you enjoy your tea! If you have any other questions or need assistance with anything else, feel free to ask."
"SHORT_NEUTRAL","Lubię herbatę.","quote","POST","200","42","216","HELP_OFFER","I'm happy to help you with your question. If you have any other questions or need assistance with anything else, feel free to ask!"
"SHORT_NEUTRAL","Lubię herbatę.","quote","PRE","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
"SHORT_NEUTRAL","Lubię herbatę.","spaces","POST","0","0","16","HELP_OFFER","Jako asystent AI, nie mogę pić herbaty, ale mogę pomóc Ci znaleźć informacje na temat herbaty. Czy masz jakieś pytania dotyczące herbaty?"
